sku,qty,is_in_stock
124733,0,0
124734,0,0
124735,0,0
124736,0,0
124737,0,0
124738,0,0
124739,0,0
124740,0,0
124741,0,0
124742,0,0
124743,0,0
124744,0,0
124745,0,0
124746,0,0
124747,0,0
124748,0,0
124749,0,0
124750,0,0
124751,0,0
124752,0,0
124753,0,0
124754,0,0
124758,0,0
124759,0,0
124760,0,0
124761,0,0
124762,0,0
124763,0,0
124764,0,0
124765,0,0
124766,0,0
124767,0,0
124768,0,0
124770,0,0
124771,0,0
124772,0,0
124774,0,0
124775,0,0
124776,0,0
124777,0,0
124778,0,0
124784,0,0
124785,0,0
124786,0,0
124787,0,0
124788,0,0
124789,0,0
124790,0,0
124791,0,0
124792,0,0
124793,0,0
124794,0,0
124795,0,0
124797,0,0
124798,0,0
124799,0,0
124800,0,0
124801,0,0
124802,0,0
124803,0,0
124804,0,0
124805,0,0
124806,0,0
124807,0,0
124808,0,0
124809,0,0
124810,0,0
124811,0,0
124812,0,0
124813,0,0
124814,0,0
124815,0,0
124816,0,0
124817,0,0
124818,0,0
124819,0,0
124820,0,0
124823,0,0
124824,0,0
124825,0,0
124826,0,0
124827,0,0
124828,0,0
124829,0,0
124830,0,0
124831,0,0
124832,0,0
124833,0,0
124834,0,0
124835,1,1
124836,0,0
124837,0,0
124838,1,1
124839,0,0
124840,0,0
124841,0,0
124842,2,1
124843,0,0
124844,0,0
124845,2,1
124846,0,0
124847,0,0
124848,0,0
124849,2,1
124850,2,1
124851,0,0
124852,0,0
124853,3,1
124854,12,1
124855,2,1
124856,0,0
124857,3,1
124858,0,0
124859,0,0
124860,5,1
124861,3,1
124862,3,1
124863,4,1
124864,0,0
124865,3,1
124866,3,1
124867,4,1
124868,9,1
124869,5,1
124870,2,1
124871,3,1
124872,4,1
124873,2,1
124874,4,1
124875,4,1
124876,5,1
124877,3,1
124878,5,1
124879,2,1
124880,1,1
124881,2,1
124882,2,1
124883,3,1
124884,3,1
124885,3,1
124886,7,1
124887,4,1
124888,4,1
124889,10,1
124890,18,1
124891,0,0
