Category	GTIN	Manufacturer	Model	Merchant Product Code	Product Name	Product Description	Product URL	Product Image URL	availability	Price	condition	title	id	brand	image_link	identifier exists
Protein Powder Blends	131317	Gaspari Nutrition		131317	Myofusion Advanced By Gaspari Nutrition	&nbsp;Key Benefits 25g Protein Low Fat and Low Sodium Enzyme Matrix ZERO Synthetic Colours ZERO Added Sugars 	http://www.nutritionwarehouse.com.au/product.php?productid=2335	http://www.nutritionwarehouse.com.au/images/T/Myofusion-Advanced-By-Gaspari.jpg	out of stock	49.95	new	Myofusion Advanced By Gaspari Nutrition	2335	Gaspari Nutrition	http://www.nutritionwarehouse.com.au/images/P/Myofusion-Advanced-By-Gaspari.jpg	FALSE
Training Accessories & Clothing	131384	Six Pack Bag		131384	Camille Tote Bag by Six Pack Fitness	Key Benefits Zippered utensil pockets. Supplement pockets. Large main compartment zips closed. Interior pocket for compact/13&quot; laptop or smart tablet. 	http://www.nutritionwarehouse.com.au/product.php?productid=2336	http://www.nutritionwarehouse.com.au/images/T/Camille-Tote-Lime-Black---Product-Image.jpg	out of stock	109.95	new	Camille Tote Bag by Six Pack Fitness	2336	Six Pack Bag	http://www.nutritionwarehouse.com.au/images/P/Camille-Tote-Lime-Black---Product-Image.jpg	FALSE
Training Accessories & Clothing	131381	Six Pack Bag		131381	Beast Duffle Bag by Six Pack Fitness	Key Benefits Insulated modular core system keeps up to 5 meals organized and independently accessible. Includes zippered utensil and supplement pockets, and won't collapse when empty. Preloaded with 5 Sure Seal Containers plus 1 Sports Nutrition Container for organizing supplements Preloaded with 3 Gel Packs that slide into core to keep food fresh and cool for 8+ hours 	http://www.nutritionwarehouse.com.au/product.php?productid=2337	http://www.nutritionwarehouse.com.au/images/T/Beast-Duffle-Black-Red---Functionality-Image.jpg	out of stock	199.95	new	Beast Duffle Bag by Six Pack Fitness	2337	Six Pack Bag	http://www.nutritionwarehouse.com.au/images/P/Beast-Duffle-Black-Red---Functionality-Image.jpg	FALSE
Training Accessories & Clothing	131411	Six Pack Bag		131411	Vixen Elite Bowler Bag by Six Pack Bags	&nbsp;Key Benefits Preloaded with 2 Elite Sure Seal Containers plus 1 Sports Nutrition Compact for organizing supplement pills Preloaded with 2 Small Gel Packs that slide into core to keep food fresh and cool for 8+ hours Main compartment zips close with organizational pockets for wallet, keys, and phone 	http://www.nutritionwarehouse.com.au/product.php?productid=2338	http://www.nutritionwarehouse.com.au/images/T/vien-six-pack-bags.jpg	in stock	374.95	new	Vixen Elite Bowler Bag by Six Pack Bags	2338	Six Pack Bag	http://www.nutritionwarehouse.com.au/images/P/vien-six-pack-bags.jpg	FALSE
Training Accessories & Clothing	131408	Six Pack Bag		131408	Renee Tote by Six Pack Bags	Key Benefits Comes equipped with 4 &quot;Sure Seal&quot; containers, 2 small gel packs and a sports nutrition compact for organizing supplement pills Insulated core system keeps 4 meals organized and cool for 8+ hours Main compartment zips close and has organizational pockets for wallet, keys, phone and more 	http://www.nutritionwarehouse.com.au/product.php?productid=2339	http://www.nutritionwarehouse.com.au/images/T/renee-tote.jpg	out of stock	199.95	new	Renee Tote by Six Pack Bags	2339	Six Pack Bag	http://www.nutritionwarehouse.com.au/images/P/renee-tote.jpg	FALSE
Training Accessories & Clothing	131400	Six Pack Bag		131400	Expedition 300 Backpack by Six Pack Bags	Key Benefits Preloaded with 3 Snap Lid Containers plus 1 Sports Nutrition Container for organizing supplements. Preloaded with 3 Gel Packs (2 small, 1 large) that slide into core to keep food fresh and cool for 8+ hours Preloaded with nylon drawstring shoe bag for lifting shoes and other footwear 	http://www.nutritionwarehouse.com.au/product.php?productid=2340	http://www.nutritionwarehouse.com.au/images/T/six-pack-bags-expedition-300.jpg	out of stock	179.95	new	Expedition 300 Backpack by Six Pack Bags	2340	Six Pack Bag	http://www.nutritionwarehouse.com.au/images/P/six-pack-bags-expedition-300.jpg	FALSE
Training Accessories & Clothing	131396	Six Pack Bag		131396	Expedition 500 Backpack by Six Pack Bags	&nbsp;Key Benefits Insulated modular core system keeps up to 5 meals organized and independently accessible. Includes zippered utensil and supplement pockets, and won't collapse when empty. Preloaded with 5 Sure Lock Containers plus 1 Sports Nutrition Container for organizing supplements. Preloaded with 3 Gel Packs (2 small, 1 large) that slide into core to keep food fresh and cool for 8+ hours 	http://www.nutritionwarehouse.com.au/product.php?productid=2341	http://www.nutritionwarehouse.com.au/images/T/6pack-expedition-500.jpg	out of stock	199.95	new	Expedition 500 Backpack by Six Pack Bags	2341	Six Pack Bag	http://www.nutritionwarehouse.com.au/images/P/6pack-expedition-500.jpg	FALSE
Weight Gainer Protein Powder	131358	Giant Sports		131358	Muscle Maker by Giant Sports	Key Benefits Added BCAA's, Creatine and Betaine Rapid Post Workout Recovery No Added Sugar No Trans Fat 	http://www.nutritionwarehouse.com.au/product.php?productid=2342	http://www.nutritionwarehouse.com.au/images/T/Muscle-Maker-by-Giant-Sports.png	in stock	44.95	new	Muscle Maker by Giant Sports	2342	Giant Sports	http://www.nutritionwarehouse.com.au/images/P/Muscle-Maker-by-Giant-Sports.png	FALSE
WPI Whey Protein Isolate 90%	131367	Scitec Nutrition		131367	Iso Great Zero Sugar Zero Fat by Scitec Nutrition	Key Benefits Ultra Pure Whey Protein Isolate (90% Protein) 0g Carbohydrates &amp; Sugars 0g Fat 	http://www.nutritionwarehouse.com.au/product.php?productid=2343	http://www.nutritionwarehouse.com.au/images/T/scitec_zero_sugar_fat_isogreat_2300g_LRG.jpg	in stock	134.95	new	Iso Great Zero Sugar Zero Fat by Scitec Nutrition	2343	Scitec Nutrition	http://www.nutritionwarehouse.com.au/images/P/scitec_zero_sugar_fat_isogreat_2300g_LRG.jpg	FALSE
Casein / Slow Release Protein	131362	Scitec Nutrition		131362	100% Casein Complex by Scitec Nutrition	Key Benefits Ensure an anabolic environment in your body Reduce muscle catabolism 100% Micellar casein Great taste and easy mixing 	http://www.nutritionwarehouse.com.au/product.php?productid=2344	http://www.nutritionwarehouse.com.au/images/T/scitec-100-Casein-Complex.jpg	out of stock	84.95	new	100% Casein Complex by Scitec Nutrition	2344	Scitec Nutrition	http://www.nutritionwarehouse.com.au/images/P/scitec-100-Casein-Complex.jpg	FALSE
